 A_signal_KK A_signal_pipi R_signal_KK R_signal_pipi A_signal_pipipipi R_signal_pipipipi R_signal_piK_plus R_signal_piK_minus R_signal_piKpipi_plus R_signal_piKpipi_minus
A_signal_KK 1 0.00948313 0.0375494 -0.0160934 0.00663181 -0.00879732 -0.00414668 -0.0110039 -0.0104075 -0.00883618
A_signal_pipi 0.00948313 1 0.00969963 0.0508065 0.0029919 -0.00356828 -0.00311376 -0.00956192 -0.00953536 -0.00713698
R_signal_KK 0.0375494 0.00969963 1 0.0337178 0.00308023 0.0299301 0.0172312 0.0146726 -0.0053459 -0.00295078
R_signal_pipi -0.0160934 0.0508065 0.0337178 1 -0.00493903 0.0433024 0.0167161 0.0417827 0.025249 0.0228497
A_signal_pipipipi 0.00663181 0.0029919 0.00308023 -0.00493903 1 0.00345209 -0.000858033 -0.0040632 -0.00259527 -0.00432445
R_signal_pipipipi -0.00879732 -0.00356828 0.0299301 0.0433024 0.00345209 1 0.00777182 0.0180919 0.0246866 0.0258871
R_signal_piK_plus -0.00414668 -0.00311376 0.0172312 0.0167161 -0.000858033 0.00777182 1 0.0486173 0.0107857 0.0110013
R_signal_piK_minus -0.0110039 -0.00956192 0.0146726 0.0417827 -0.0040632 0.0180919 0.0486173 1 0.0222842 0.021644
R_signal_piKpipi_plus -0.0104075 -0.00953536 -0.0053459 0.025249 -0.00259527 0.0246866 0.0107857 0.0222842 1 0.0656965
R_signal_piKpipi_minus -0.00883618 -0.00713698 -0.00295078 0.0228497 -0.00432445 0.0258871 0.0110013 0.021644 0.0656965 1
