 A_signal_KK_run1 A_signal_pipi_run1 R_signal_KK_run1 R_signal_pipi_run1 R_signal_piK_run1_plus R_signal_piK_run1_minus R_signal_piKpipi_run1_plus R_signal_piKpipi_run1_minus A_signal_KK_run2 A_signal_pipi_run2 R_signal_KK_run2 R_signal_pipi_run2 A_signal_pipipipi_run2 R_signal_pipipipi_run2 R_signal_piK_run2_plus R_signal_piK_run2_minus R_signal_piKpipi_run2_plus R_signal_piKpipi_run2_minus
A_signal_KK_run1 1 -3.07334e-05 0.081937 5.3307e-05 -2.86144e-05 -0.000340842 0.000111428 3.00798e-05 -5.4413e-05 0.000299071 0.00225722 0.00120902 8.05782e-05 0.00238419 0.000325902 0.000338784 0.000156596 0.000133423
A_signal_pipi_run1 -3.07334e-05 1 -0.000360287 0.00972318 6.01388e-05 -0.00016807 -0.000454774 2.34877e-05 3.88907e-05 -0.000142144 -0.000840734 -0.000611776 -0.000121827 -0.00112498 -0.000296257 -0.000290382 -0.000305664 1.17663e-05
R_signal_KK_run1 0.081937 -0.000360287 1 0.0382412 0.00900896 0.0278578 0.0023421 0.00232056 -0.000529306 0.0021316 0.0240429 0.0140586 0.000146797 0.0198692 0.00113064 0.00135094 0.00248294 0.00281062
R_signal_pipi_run1 5.3307e-05 0.00972318 0.0382412 1 0.00615187 0.0196804 0.00201186 0.00152803 -0.000272166 0.00169817 0.0145739 0.0103522 0.000215808 0.0159087 0.000655462 0.000749197 0.00195158 0.00187875
R_signal_piK_run1_plus -2.86144e-05 6.01388e-05 0.00900896 0.00615187 1 0.0294004 0.00262331 0.00290973 -3.36611e-05 0.000175423 0.00358825 0.00239311 -8.62528e-05 0.00183697 0.0279826 0.0152114 0.00346783 0.00360186
R_signal_piK_run1_minus -0.000340842 -0.00016807 0.0278578 0.0196804 0.0294004 1 0.00332396 0.00390896 -4.82378e-05 0.000555256 0.0082643 0.00559759 -0.000226882 0.00484954 0.0140169 0.027039 0.00388916 0.00420182
R_signal_piKpipi_run1_plus 0.000111428 -0.000454774 0.0023421 0.00201186 0.00262331 0.00332396 1 0.0336843 -3.99499e-05 0.000145793 0.00521846 0.00360365 2.6692e-05 0.00413567 0.00496983 0.00530597 0.0309695 0.0171782
R_signal_piKpipi_run1_minus 3.00798e-05 2.34877e-05 0.00232056 0.00152803 0.00290973 0.00390896 0.0336843 1 7.46196e-05 0.000758129 0.00532066 0.00427107 -0.0010164 0.00558931 0.00546704 0.00665565 0.0185387 0.0319996
A_signal_KK_run2 -5.4413e-05 3.88907e-05 -0.000529306 -0.000272166 -3.36611e-05 -4.82378e-05 -3.99499e-05 7.46196e-05 1 -4.91012e-05 0.00315863 -0.000164398 -1.9352e-05 -0.00064033 3.33042e-05 8.50102e-05 -5.99275e-05 -8.06742e-06
A_signal_pipi_run2 0.000299071 -0.000142144 0.0021316 0.00169817 0.000175423 0.000555256 0.000145793 0.000758129 -4.91012e-05 1 0.00304962 0.0905371 -0.000147644 0.00627192 0.000331841 0.000587229 0.000110486 0.000417557
R_signal_KK_run2 0.00225722 -0.000840734 0.0240429 0.0145739 0.00358825 0.0082643 0.00521846 0.00532066 0.00315863 0.00304962 1 0.0421428 0.000154961 0.0335315 0.0191262 0.0228073 0.00497911 0.0054949
R_signal_pipi_run2 0.00120902 -0.000611776 0.0140586 0.0103522 0.00239311 0.00559759 0.00360365 0.00427107 -0.000164398 0.0905371 0.0421428 1 -7.46517e-05 0.0264421 0.0141516 0.0170756 0.00340698 0.0041254
A_signal_pipipipi_run2 8.05782e-05 -0.000121827 0.000146797 0.000215808 -8.62528e-05 -0.000226882 2.6692e-05 -0.0010164 -1.9352e-05 -0.000147644 0.000154961 -7.46517e-05 1 0.00688468 -0.000215696 -0.000517832 6.92154e-05 -0.000461275
R_signal_pipipipi_run2 0.00238419 -0.00112498 0.0198692 0.0159087 0.00183697 0.00484954 0.00413567 0.00558931 -0.00064033 0.00627192 0.0335315 0.0264421 0.00688468 1 0.00575212 0.0070341 0.00875921 0.012905
R_signal_piK_run2_plus 0.000325902 -0.000296257 0.00113064 0.000655462 0.0279826 0.0140169 0.00496983 0.00546704 3.33042e-05 0.000331841 0.0191262 0.0141516 -0.000215696 0.00575212 1 0.0377403 0.00559033 0.00581351
R_signal_piK_run2_minus 0.000338784 -0.000290382 0.00135094 0.000749197 0.0152114 0.027039 0.00530597 0.00665565 8.50102e-05 0.000587229 0.0228073 0.0170756 -0.000517832 0.0070341 0.0377403 1 0.00579633 0.0064478
R_signal_piKpipi_run2_plus 0.000156596 -0.000305664 0.00248294 0.00195158 0.00346783 0.00388916 0.0309695 0.0185387 -5.99275e-05 0.000110486 0.00497911 0.00340698 6.92154e-05 0.00875921 0.00559033 0.00579633 1 0.0465303
R_signal_piKpipi_run2_minus 0.000133423 1.17663e-05 0.00281062 0.00187875 0.00360186 0.00420182 0.0171782 0.0319996 -8.06742e-06 0.000417557 0.0054949 0.0041254 -0.000461275 0.012905 0.00581351 0.0064478 0.0465303 1
